module_list.0.conv_0,darknet53.block_0to36.0.block.0
module_list.0.batch_norm_0,darknet53.block_0to36.0.block.1
module_list.1.conv_1,darknet53.block_0to36.1.block.0
module_list.1.batch_norm_1,darknet53.block_0to36.1.block.1
module_list.2.conv_2,darknet53.block_0to36.2.block.0.block.0
module_list.2.batch_norm_2,darknet53.block_0to36.2.block.0.block.1
module_list.3.conv_3,darknet53.block_0to36.2.block.1.block.0
module_list.3.batch_norm_3,darknet53.block_0to36.2.block.1.block.1
module_list.5.conv_5,darknet53.block_0to36.3.block.0
module_list.5.batch_norm_5,darknet53.block_0to36.3.block.1
module_list.6.conv_6,darknet53.block_0to36.4.block.0.block.0
module_list.6.batch_norm_6,darknet53.block_0to36.4.block.0.block.1
module_list.7.conv_7,darknet53.block_0to36.4.block.1.block.0
module_list.7.batch_norm_7,darknet53.block_0to36.4.block.1.block.1
module_list.9.conv_9,darknet53.block_0to36.5.block.0.block.0
module_list.9.batch_norm_9,darknet53.block_0to36.5.block.0.block.1
module_list.10.conv_10,darknet53.block_0to36.5.block.1.block.0
module_list.10.batch_norm_10,darknet53.block_0to36.5.block.1.block.1
module_list.12.conv_12,darknet53.block_0to36.6.block.0
module_list.12.batch_norm_12,darknet53.block_0to36.6.block.1
module_list.13.conv_13,darknet53.block_0to36.7.block.0.block.0
module_list.13.batch_norm_13,darknet53.block_0to36.7.block.0.block.1
module_list.14.conv_14,darknet53.block_0to36.7.block.1.block.0
module_list.14.batch_norm_14,darknet53.block_0to36.7.block.1.block.1
module_list.16.conv_16,darknet53.block_0to36.8.block.0.block.0
module_list.16.batch_norm_16,darknet53.block_0to36.8.block.0.block.1
module_list.17.conv_17,darknet53.block_0to36.8.block.1.block.0
module_list.17.batch_norm_17,darknet53.block_0to36.8.block.1.block.1
module_list.19.conv_19,darknet53.block_0to36.9.block.0.block.0
module_list.19.batch_norm_19,darknet53.block_0to36.9.block.0.block.1
module_list.20.conv_20,darknet53.block_0to36.9.block.1.block.0
module_list.20.batch_norm_20,darknet53.block_0to36.9.block.1.block.1
module_list.22.conv_22,darknet53.block_0to36.10.block.0.block.0
module_list.22.batch_norm_22,darknet53.block_0to36.10.block.0.block.1
module_list.23.conv_23,darknet53.block_0to36.10.block.1.block.0
module_list.23.batch_norm_23,darknet53.block_0to36.10.block.1.block.1
module_list.25.conv_25,darknet53.block_0to36.11.block.0.block.0
module_list.25.batch_norm_25,darknet53.block_0to36.11.block.0.block.1
module_list.26.conv_26,darknet53.block_0to36.11.block.1.block.0
module_list.26.batch_norm_26,darknet53.block_0to36.11.block.1.block.1
module_list.28.conv_28,darknet53.block_0to36.12.block.0.block.0
module_list.28.batch_norm_28,darknet53.block_0to36.12.block.0.block.1
module_list.29.conv_29,darknet53.block_0to36.12.block.1.block.0
module_list.29.batch_norm_29,darknet53.block_0to36.12.block.1.block.1
module_list.31.conv_31,darknet53.block_0to36.13.block.0.block.0
module_list.31.batch_norm_31,darknet53.block_0to36.13.block.0.block.1
module_list.32.conv_32,darknet53.block_0to36.13.block.1.block.0
module_list.32.batch_norm_32,darknet53.block_0to36.13.block.1.block.1
module_list.34.conv_34,darknet53.block_0to36.14.block.0.block.0
module_list.34.batch_norm_34,darknet53.block_0to36.14.block.0.block.1
module_list.35.conv_35,darknet53.block_0to36.14.block.1.block.0
module_list.35.batch_norm_35,darknet53.block_0to36.14.block.1.block.1
module_list.37.conv_37,darknet53.block_37to61.0.block.0
module_list.37.batch_norm_37,darknet53.block_37to61.0.block.1
module_list.38.conv_38,darknet53.block_37to61.1.block.0.block.0
module_list.38.batch_norm_38,darknet53.block_37to61.1.block.0.block.1
module_list.39.conv_39,darknet53.block_37to61.1.block.1.block.0
module_list.39.batch_norm_39,darknet53.block_37to61.1.block.1.block.1
